"COLECTIVO","PROGRAMA","CIF","ENTIDAD","PROYECTO","IMPORTE",,,
"PERSONAS RECLUSAS Y EX RECLUSAS","COLABORACIÓN EN EL CUMPLIMIENTO PENAS DE MEDIDAS ALTERNATIVAS A LA PRISIÓN","R-02800560-A","CÁRITAS ESPAÑOLA","COLABORACIÓN EN EL CUMPLIMIENTO DE MEDIDAS ALTERNATIVAS A LA PRISIÓN","20350,28",,,
"PERSONAS RECLUSAS Y EX RECLUSAS","COLABORACIÓN EN EL CUMPLIMIENTO PENAS DE MEDIDAS ALTERNATIVAS A LA PRISIÓN","Q-02866001-G","CRUZ ROJA ESPAÑOLA","UNIDADES DEPENDIENTES","126075,6",,,
"PERSONAS RECLUSAS Y EX RECLUSAS","COLABORACIÓN EN EL CUMPLIMIENTO PENAS DE MEDIDAS ALTERNATIVAS A LA PRISIÓN","G-73038457","FUNDACIÓN DIAGRAMA INTERVENCIÓN PSICOSOCIAL","MEDIDAS ALTERNATIVAS DESTINADAS A MALTRATADORES POR VIOLENCIA DE GÉNERO Y EN EL ÁMBITO FAMILIAR",30000,,,
"PERSONAS RECLUSAS Y EX RECLUSAS","COLABORACIÓN EN EL CUMPLIMIENTO PENAS DE MEDIDAS ALTERNATIVAS A LA PRISIÓN","G-73038457","FUNDACIÓN DIAGRAMA INTERVENCIÓN PSICOSOCIAL","EJECUCIÓN DE MEDIDAS DE TRABAJO EN BENEFICIO DE LA COMUNIDAD EN DELITOS CONTRA LA SEGURIDAD DEL TRÁFICO",7000,,,
"PERSONAS RECLUSAS Y EX RECLUSAS","COLABORACIÓN EN EL CUMPLIMIENTO PENAS DE MEDIDAS ALTERNATIVAS A LA PRISIÓN","G-83618850","FUNDACIÓN PADRE GARRALDA-HORIZONTES ABIERTOS","UNIDAD DEPENDIENTE BORJA",23966,,,
"PERSONAS RECLUSAS Y EX RECLUSAS","COLABORACIÓN EN EL CUMPLIMIENTO PENAS DE MEDIDAS ALTERNATIVAS A LA PRISIÓN","G-83618850","FUNDACIÓN PADRE GARRALDA-HORIZONTES ABIERTOS","JAVIER",120569,,,
"PERSONAS RECLUSAS Y EX RECLUSAS","COLABORACIÓN EN EL CUMPLIMIENTO PENAS DE MEDIDAS ALTERNATIVAS A LA PRISIÓN","G-83618850","FUNDACIÓN PADRE GARRALDA-HORIZONTES ABIERTOS","ELLACURIA",72419,,,
"PERSONAS RECLUSAS Y EX RECLUSAS","COLABORACIÓN EN EL CUMPLIMIENTO PENAS DE MEDIDAS ALTERNATIVAS A LA PRISIÓN","G-96946025","FUNDACIÓN VECINAL VICENTE BLASCO IBÁÑEZ DE LA COMUNIDAD VALENCIANA","TALLER DE SENSIBILIZACIÓN Y FORMACIÓN PARTICIPATIVA",18000,,,
"PERSONAS RECLUSAS Y EX RECLUSAS","COLABORACIÓN EN EL CUMPLIMIENTO PENAS DE MEDIDAS ALTERNATIVAS A LA PRISIÓN","G-39597562","H-AMIKECO, ASOCIACIÓN PARA LA PROMOCIÓN DE LAS RELACIONES HUMANAS","ATENCIÓN Y TRATAMIENTO PSICOLÓGICO A PERSONAS CON DELITOS DE VIOLENCIA Y DE AGRESIÓN SEXUAL.",35000,,,
"PERSONAS RECLUSAS Y EX RECLUSAS","COLABORACIÓN EN EL CUMPLIMIENTO PENAS DE MEDIDAS ALTERNATIVAS A LA PRISIÓN","G-78005386","UNIÓN ESPAÑOLA DE ASOCIACIONES Y ENTIDADES DE ATENCIÓN AL DROGODEPENDIENTE","COLABORACIÓN EN EL CUMPLIMIENTO DE PENAS Y MEDIDAS ALTERNATIVAS A LA PRISIÓN","17675,28",,,
"PERSONAS RECLUSAS Y EX RECLUSAS","PROGRAMAS PARA LA ATENCIÓN DE COLECTIVOS ESPECÍFICOS","R-02800560-A","CÁRITAS ESPAÑOLA","ATENCIÓN DE COLECTIVOS ESPECÍFICOS","14342,26",,,
"PERSONAS RECLUSAS Y EX RECLUSAS","PROGRAMAS PARA LA ATENCIÓN DE COLECTIVOS ESPECÍFICOS","G-58892530","COORDINADORA CONTRA LA MARGINACIÓN","ATENCIÓN A PERSONAS PRESAS Y A SUS FAMILIAS",30000,,,
"PERSONAS RECLUSAS Y EX RECLUSAS","PROGRAMAS PARA LA ATENCIÓN DE COLECTIVOS ESPECÍFICOS","Q-02866001-G","CRUZ ROJA ESPAÑOLA","GUARDERÍAS DURANTE LA COMUNICACIÓN VIS A VIS",65125,,,
"PERSONAS RECLUSAS Y EX RECLUSAS","PROGRAMAS PARA LA ATENCIÓN DE COLECTIVOS ESPECÍFICOS","G-41516030","FEDERACIÓN ANDALUCÍA ACOGE","INTEGRACIÓN DE PERSONAS DE ORIGEN EXTRANJERO PRIVADAS DE LIBERTAD",31781,,,
"PERSONAS RECLUSAS Y EX RECLUSAS","PROGRAMAS PARA LA ATENCIÓN DE COLECTIVOS ESPECÍFICOS","G-83618850","FUNDACIÓN PADRE GARRALDA-HORIZONTES ABIERTOS","KOSTKA",68033,,,
"PERSONAS RECLUSAS Y EX RECLUSAS","PROGRAMAS PARA LA ATENCIÓN DE COLECTIVOS ESPECÍFICOS","G-83618850","FUNDACIÓN PADRE GARRALDA-HORIZONTES ABIERTOS","GARATE ACTIVIDADES CP MUJERES","4793,2",,,
"PERSONAS RECLUSAS Y EX RECLUSAS","PROGRAMAS PARA LA ATENCIÓN DE COLECTIVOS ESPECÍFICOS","G-07267628","GRUPO DE EDUCADORES DE CALLE Y TRABAJO CON MENORES","INTERVENCIÓN SOCIOEDUCATIVA EN LA UNIDAD DE MADRES DE MALLORCA","18685,94",,,
"PERSONAS RECLUSAS Y EX RECLUSAS","PROGRAMAS PARA LA ATENCIÓN DE COLECTIVOS ESPECÍFICOS","G-78005386","UNIÓN ESPAÑOLA DE ASOCIACIONES Y ENTIDADES DE ATENCIÓN AL DROGODEPENDIENTE","ATENCIÓN A COLECTIVOS ESPECÍFICOS (EXTRANJEROS, MUJERES, JÓVENES, MAYORES Y NIÑOS RESIDENTES EN CENTROS PENITENCIARIOS)",20840,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS INTEGRALES DESTINADOS A LA INCORPORACIÓN SOCIAL DE PERSONAS SIN HOGAR Y SIN ALOJAMIENTO DIGNO","G-61611364","ARRELS FUNDACIÓ","CENTRE OBERT ARRELS (CENTRO DE DÍA PARA PERSONAS SIN HOGAR)",84299,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS INTEGRALES DESTINADOS A LA INCORPORACIÓN SOCIAL DE PERSONAS SIN HOGAR Y SIN ALOJAMIENTO DIGNO","G-61611364","ARRELS FUNDACIÓ","VIVIENDA CON APOYO",33000,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS INTEGRALES DESTINADOS A LA INCORPORACIÓN SOCIAL DE PERSONAS SIN HOGAR Y SIN ALOJAMIENTO DIGNO","G-41882242","ASOCIACIÓN FAMILIA VICENCIANA PROYECTO ""MIGUEL MAÑARA""","MIGUEL MAÑARA",136406,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS INTEGRALES DESTINADOS A LA INCORPORACIÓN SOCIAL DE PERSONAS SIN HOGAR Y SIN ALOJAMIENTO DIGNO","G-41237561","ASOCIACIÓN NACIONAL AFAR","ATENCIÓN INTEGRAL PARA LA INCORPORACIÓN SOCIAL DE PERSONAS SIN HOGAR Y SIN ALOJAMIENTO DIGNO",20000,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS INTEGRALES DESTINADOS A LA INCORPORACIÓN SOCIAL DE PERSONAS SIN HOGAR Y SIN ALOJAMIENTO DIGNO","G-30666820","ASOCIACIÓN RASCASA","PROGRAMA INTEGRAL A PERSONAS EN SITUACIÓN O RIESGO DE EXCLUSIÓN SOCIAL",35000,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS INTEGRALES DESTINADOS A LA INCORPORACIÓN SOCIAL DE PERSONAS SIN HOGAR Y SIN ALOJAMIENTO DIGNO","G-46090999","ASOCIACIÓN VALENCIANA DE CARIDAD (CASA CARIDAD VALENCIA)","PROGRAMA INTEGRAL DE ATENCIÓN A PERSONAS CON FALTA DE RECURSOS Y RIESGO DE EXCLUSIÓN SOCIAL",30000,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS INTEGRALES DESTINADOS A LA INCORPORACIÓN SOCIAL DE PERSONAS SIN HOGAR Y SIN ALOJAMIENTO DIGNO","G-58858416","ASSOCIACIÓ RAUXA","TRATAMIENTO INTEGRAL DE TRANSEÚNTES CRÓNICOS SIN HOGAR",89404,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS INTEGRALES DESTINADOS A LA INCORPORACIÓN SOCIAL DE PERSONAS SIN HOGAR Y SIN ALOJAMIENTO DIGNO","R-02800560-A","CÁRITAS ESPAÑOLA","PROGRAMAS INTEGRALES DESTINADOS A LA INCORPORACIÓN SOCIAL DE PERSONAS SIN HOGAR Y SIN ALOJAMIENTO DIGNO","3717400,23",,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS INTEGRALES DESTINADOS A LA INCORPORACIÓN SOCIAL DE PERSONAS SIN HOGAR Y SIN ALOJAMIENTO DIGNO","R-07800985-I","COMPAÑÍA DE LAS HIJAS DE SAN VICENTE DE PAÚL. COMPAÑÍA DE ESPAÑA","PROGRAMAS INTEGRALES DESTINADOS A LA INCORPORACIÓN SOCIAL DE PERSONAS SIN HOGAR",197072,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS INTEGRALES DESTINADOS A LA INCORPORACIÓN SOCIAL DE PERSONAS SIN HOGAR Y SIN ALOJAMIENTO DIGNO","V-84937598","CONFEDERACIÓN ESTATAL DE ASOCIACIONES DE VECINOS","ENTREVECINOS",40000,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS INTEGRALES DESTINADOS A LA INCORPORACIÓN SOCIAL DE PERSONAS SIN HOGAR Y SIN ALOJAMIENTO DIGNO","G-82803578","COORDINADORA ESTATAL DE PLATAFORMAS SOCIALES SALESIANAS","INCORPORACIÓN SOCIAL DE PERSONAS SIN HOGAR Y SIN ALOJAMIENTO DIGNO",30000,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS INTEGRALES DESTINADOS A LA INCORPORACIÓN SOCIAL DE PERSONAS SIN HOGAR Y SIN ALOJAMIENTO DIGNO","Q-02866001-G","CRUZ ROJA ESPAÑOLA","ATENCIÓN INTEGRAL A PERSONAS SIN HOGAR",268557,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS INTEGRALES DESTINADOS A LA INCORPORACIÓN SOCIAL DE PERSONAS SIN HOGAR Y SIN ALOJAMIENTO DIGNO","G-58815069","FEDERACIÓ D'ASSOCIACIONS DE VEÏNS D'HABITATGE SOCIAL DE CATALUNYA","ACCIÓN INTEGRAL FAVIBC: PROCESOS COMUNITARIOS Y DINAMIZACIÓN VECINAL",136393,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS INTEGRALES DESTINADOS A LA INCORPORACIÓN SOCIAL DE PERSONAS SIN HOGAR Y SIN ALOJAMIENTO DIGNO","G-28697324","FEDERACIÓN DE ENTIDADES Y CENTROS PARA LA INTEGRACIÓN Y AYUDA DE MARGINADOS","INTEGRACIÓN SOCIAL DE PERSONAS SIN HOGAR",420137,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS INTEGRALES DESTINADOS A LA INCORPORACIÓN SOCIAL DE PERSONAS SIN HOGAR Y SIN ALOJAMIENTO DIGNO","G-59546556","FUNDACIÓ PRIVADA TRINIJOVE","CENTRO DE ARTE SOCIAL COMUNITARIO PARA LA INCLUSIÓN SOCIAL",180000,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS INTEGRALES DESTINADOS A LA INCORPORACIÓN SOCIAL DE PERSONAS SIN HOGAR Y SIN ALOJAMIENTO DIGNO","G-59546556","FUNDACIÓ PRIVADA TRINIJOVE","INTERVENCIÓN SOCIOLABORAL EN EL BARRIO DE BARÓ DE VIVER",150000,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS INTEGRALES DESTINADOS A LA INCORPORACIÓN SOCIAL DE PERSONAS SIN HOGAR Y SIN ALOJAMIENTO DIGNO","G-78519303","FUNDACIÓN JUAN CIUDAD","PROGRAMAS INTEGRALES DESTINADOS A LA INCORPORACIÓN SOCIAL DE PERSONAS SIN HOGAR Y SIN ALOJAMIENTO DIGNO",562429,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS INTEGRALES DESTINADOS A LA INCORPORACIÓN SOCIAL DE PERSONAS SIN HOGAR Y SIN ALOJAMIENTO DIGNO","G-09316878","FUNDACIÓN LESMES","INTEGRACIÓN SOCIAL DE PERSONAS SIN HOGAR EN SITUACIÓN CRONIFICADA",20000,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS INTEGRALES DESTINADOS A LA INCORPORACIÓN SOCIAL DE PERSONAS SIN HOGAR Y SIN ALOJAMIENTO DIGNO","G-92251644","FUNDACIÓN PROLIBERTAS","INSERCIÓN SOCIOLABORAL Y ATENCIÓN INTEGRAL A PERSONAS SIN HOGAR",300000,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS INTEGRALES DESTINADOS A LA INCORPORACIÓN SOCIAL DE PERSONAS SIN HOGAR Y SIN ALOJAMIENTO DIGNO","G-83207712","FUNDACIÓN RED DE APOYO A LA INTEGRACIÓN SOCIOLABORAL","RAIS CONSTRUYE REDES DE SOLIDARIDAD: PLAN DE ACCIÓN SOCIAL INTEGRAL PARA PERSONAS SIN HOGAR",1990000,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS INTEGRALES DESTINADOS A LA INCORPORACIÓN SOCIAL DE PERSONAS SIN HOGAR Y SIN ALOJAMIENTO DIGNO","G-83207712","FUNDACIÓN RED DE APOYO A LA INTEGRACIÓN SOCIOLABORAL","PLAN DE ALOJAMIENTO PARA PERSONAS SIN HOGAR. RAIS CONSTRUYE REDES DE SOLIDARIDAD",221000,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS INTEGRALES DESTINADOS A LA INCORPORACIÓN SOCIAL DE PERSONAS SIN HOGAR Y SIN ALOJAMIENTO DIGNO","G-79408696","PROVIVIENDA","APOYO A LA INTEGRACIÓN A TRAVÉS DE LA VIVIENDA PARA COLECTIVOS CON DIFICULTADES",115219,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS INTEGRALES DESTINADOS A LA INCORPORACIÓN SOCIAL DE PERSONAS SIN HOGAR Y SIN ALOJAMIENTO DIGNO","G-80394711","REALIDADES PARA LA INTEGRACIÓN SOCIAL","PROGRAMA INTEGRAL DE ATENCIÓN A PERSONAS SIN HOGAR",300000,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS INTEGRALES DESTINADOS A LA INCORPORACIÓN SOCIAL DE PERSONAS SIN HOGAR Y SIN ALOJAMIENTO DIGNO","G-28256667","SOCIEDAD DE SAN VICENTE DE PAÚL EN ESPAÑA","PROGRAMA DE TRANSEÚNTES",128949,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS INTEGRALES DESTINADOS A LA INCORPORACIÓN SOCIAL DE PERSONAS SIN HOGAR Y SIN ALOJAMIENTO DIGNO","G-78005386","UNIÓN ESPAÑOLA DE ASOCIACIONES Y ENTIDADES DE ATENCIÓN AL DROGODEPENDIENTE","PROYECTOS INTEGRALES DESTINADOS A LA INCORPORACIÓN SOCIAL DE PERSONAS SIN HOGAR Y SIN ALOJAMIENTO DIGNO",30000,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS INTEGRALES DIRIGIDOS A LA POBLACIÓN RURAL DESFAVORECIDA","R-02800560-A","CÁRITAS ESPAÑOLA","PROGRAMAS INTEGRALES DIRIGIDOS A LA POBLACIÓN RURAL DESFAVORECIDA",207980,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS INTEGRALES DIRIGIDOS A LA POBLACIÓN RURAL DESFAVORECIDA","G-34102160","COLECTIVOS DE ACCIÓN SOLIDARIA","PROGRAMAS INTEGRALES DIRIGIDOS A LA POBLACIÓN RURAL DESFAVORECIDA",388626,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS INTEGRALES DIRIGIDOS A LA POBLACIÓN RURAL DESFAVORECIDA","G-47306568","CONFEDERACIÓN DE CENTROS DE DESARROLLO RURAL","PROGRAMA INTEGRAL DIRIGIDO A LA POBLACIÓN RURAL DESFAVORECIDA",1360886,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS INTEGRALES DIRIGIDOS A LA POBLACIÓN RURAL DESFAVORECIDA","G-80409105","CONFEDERACIÓN NACIONAL DE MUJERES EN IGUALDAD","CURSOS DE FORMACIÓN EN EL ÁMBITO RURAL",30000,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS INTEGRALES DIRIGIDOS A LA POBLACIÓN RURAL DESFAVORECIDA","G-05138516","RED ESPAÑOLA DE DESARROLLO RURAL","PROGRAMA PARA LA INCLUSIÓN SOCIAL. POBLACIÓN RURAL DESFAVORECIDA",109093,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS INTEGRALES DIRIGIDOS A LA POBLACIÓN RURAL DESFAVORECIDA","G-78084258","UNIÓN DE CENTROS DE ACCIÓN RURAL","LA INCLUSIÓN SOCIAL COMO MEDIO PARA EL DESARROLLO TERRITORIAL",82902,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS DESTINADOS A FACILITAR EL ACCESO A LAS TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIÓN A LAS PERSONAS EXCLUIDAS O EN RIESGO DE EXCLUSIÓN","G-61838280","ASOCIACIÓN WAFAE","INCLUSIÓN SOCIAL A TRAVÉS DE NUEVAS TECNOLOGÍAS",30000,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS DESTINADOS A FACILITAR EL ACCESO A LAS TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIÓN A LAS PERSONAS EXCLUIDAS O EN RIESGO DE EXCLUSIÓN","G-17397134","ASSOCIACIÓ D'INICIATIVES SOCIALS","PROGRAMA TR3S ACCIÓNS. DE ACCESO AL EMPLEO PARA PERSONAS EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN SOCIAL",30000,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS DESTINADOS A FACILITAR EL ACCESO A LAS TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIÓN A LAS PERSONAS EXCLUIDAS O EN RIESGO DE EXCLUSIÓN","R-02800560-A","CÁRITAS ESPAÑOLA","PROGRAMAS DESTINADOS A FACILITAR EL ACCESO A LAS TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIÓN A LAS PERSONAS EXCLUIDAS O EN RIESGO DE EXCLUSIÓN",30560,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS DESTINADOS A FACILITAR EL ACCESO A LAS TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIÓN A LAS PERSONAS EXCLUIDAS O EN RIESGO DE EXCLUSIÓN","G-80409105","CONFEDERACIÓN NACIONAL DE MUJERES EN IGUALDAD","CURSOS DE FORMACIÓN EN NUEVAS TECNOLOGÍAS",30000,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS DESTINADOS A FACILITAR EL ACCESO A LAS TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIÓN A LAS PERSONAS EXCLUIDAS O EN RIESGO DE EXCLUSIÓN","G-62090535","FUNDACIÓN ACCIÓN SOCIAL, EDUCACIÓN Y TIEMPO LIBRE. ESPLAI","RED CONECTA, DE ALFABETIZACIÓN DIGITAL PARA COLECTIVOS EN RIESGO DE EXCLUSIÓN SOCIAL",118000,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS DESTINADOS A FACILITAR EL ACCESO A LAS TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIÓN A LAS PERSONAS EXCLUIDAS O EN RIESGO DE EXCLUSIÓN","G-58251901","FUNDACIÓN FONT PICANT","SANT MIQUEL DE MAIFRÉ",30000,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS DESTINADOS A FACILITAR EL ACCESO A LAS TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIÓN A LAS PERSONAS EXCLUIDAS O EN RIESGO DE EXCLUSIÓN","G-58579806","RED ARAÑA, TEJIDO DE ENTIDADES SOCIALES POR EL EMPLEO","AULAS TIC",47000,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS DESTINADOS A FACILITAR EL ACCESO A LAS TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIÓN A LAS PERSONAS EXCLUIDAS O EN RIESGO DE EXCLUSIÓN","G-05138516","RED ESPAÑOLA DE DESARROLLO RURAL","PROGRAMA PARA LA INCLUSIÓN SOCIAL. ACCESO A LAS TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIÓN",38000,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS DE ACCESO AL EMPLEO PARA PERSONAS EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN","G-08995466","ACCIÓN SOLIDARIA CONTRA L'ATUR","INSERCIÓN SOCIOLABORAL DE PERSONAS CON RIESGO DE EXCLUSIÓN SOCIAL",30000,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS DE ACCESO AL EMPLEO PARA PERSONAS EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN","G-80358419","AMÉRICA - ESPAÑA, SOLIDARIDAD Y COOPERACIÓN","CAPACITACIÓN PARA EL AUTOEMPLEO, EMPRENDIMIENTO Y LA INSERCIÓN LABORAL PARA PERSONAS EN SITUACIÓN DE EXCLUSIÓN SOCIAL",20000,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS DE ACCESO AL EMPLEO PARA PERSONAS EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN","G-53189882","ASOCIACIÓN AMIG@S DEL CEREZO","PROGRAMAS INTEGRALES DIRIGIDOS A LAS PERSONAS EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN SOCIAL",100000,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS DE ACCESO AL EMPLEO PARA PERSONAS EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN","G-08828998","ASOCIACIÓN CASAL DELS INFANTS PER L'ACCIO SOCIAL ALS BARRIS","POLO DE INICIATIVAS FORMATIVAS Y OCUPACIONALES EN HOSTELERÍA Y RESTAURACIÓN",30000,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS DE ACCESO AL EMPLEO PARA PERSONAS EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN","G-78432697","ASOCIACIÓN COLECTIVO LA CALLE","“APRENDER HACIENDO"". ACCESO Y CREACIÓN DE EMPLEO PARA PERSONAS EN SITUACIÓN O RIESGO DE EXCLUSIÓN SOCIAL",25000,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS DE ACCESO AL EMPLEO PARA PERSONAS EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN","G-78210150","ASOCIACIÓN CULTURAL LA KALLE","ITINERARIO DE INSERCIÓN SOCIOLABORAL EN CARPINTERÍA Y EBANISTERÍA: TALLER IROKO",34436,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS DE ACCESO AL EMPLEO PARA PERSONAS EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN","G-02219293","ASOCIACIÓN ESPAÑOLA DE RECUPERADORES DE LA ECONOMÍA SOCIAL Y SOLIDARIA","NODUS 10-11",308565,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS DE ACCESO AL EMPLEO PARA PERSONAS EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN","G-30432231","ASOCIACIÓN PARA LA PROMOCIÓN SOCIO-CULTURAL E INSERCIÓN LABORAL DE LA ETNIA GITANA Y OTROS COLECTIVOS EN RIESGO DE EXCLUSIÓN SOCIAL ""ASPROSOCU""","INSERCIÓN LABORAL PARA PERSONAS EN RIESGO DE EXCLUSIÓN SOCIAL EN ZONAS DESFAVORECIDAS DE LA REGIÓN DE MURCIA (CARTAGENA, LORCA Y ESPINARDO), CASTILLA LA MANCHA (ALBACETE) Y ANDALUCÍA (ALBOX)",35000,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS DE ACCESO AL EMPLEO PARA PERSONAS EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN","G-79267936","ASOCIACIÓN PROYECTO HOMBRE","INSERCIÓN LABORAL",37137,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS DE ACCESO AL EMPLEO PARA PERSONAS EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN","G-80586696","CANDELITA","PROGRAMA PARA LA INCLUSIÓN SOCIAL PASO",30398,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS DE ACCESO AL EMPLEO PARA PERSONAS EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN","G-80586696","CANDELITA","BABEL: ITINERARIOS PARTICIPATIVOS PARA ACTIVAR EL EMPLEO",30398,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS DE ACCESO AL EMPLEO PARA PERSONAS EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN","R-02800560-A","CÁRITAS ESPAÑOLA","ACCESO AL EMPLEO PARA PERSONAS EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN",1233102,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS DE ACCESO AL EMPLEO PARA PERSONAS EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN","G-34102160","COLECTIVOS DE ACCIÓN SOLIDARIA","ACCESO AL EMPLEO PARA PERSONAS EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN",45014,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS DE ACCESO AL EMPLEO PARA PERSONAS EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN","Q-02866001-G","CRUZ ROJA ESPAÑOLA","EMPLEO PARA PERSONAS VULNERABLES",1099168,,,
"PROGRAMAS PARA LA INCLUSIÓN SOCIAL","PROGRAMAS DE ACCESO AL EMPLEO PARA PERSONAS EN SITUACIÓN O EN RIESGO DE EXCLUSIÓN","Q-02866001-G","CRUZ ROJA ESPAÑOLA","PROYECTO IMPULS@: APOYO AL AUTOEMPLEO Y MICROCRÉDITOS",171090,,,
